Strike 1,Correlation coefficient 1
3000,
4000,
5000,
6000,
7000,
8000,
9000,
10000,
11000,
12000,
13000,
14000,
15000,
16000,
17000,
17500,
18000,
18500,
19000,
19500,
20000,
20500,
21000,0.9963175961679155
21500,0.9942110641272018
22000,0.9512038174909484
22500,0.9941204105080658
23000,0.9846293459111038
23500,0.9657410942789297
24000,0.9636723261384297
24500,0.8835757390132694
25000,1.0
25500,
26000,
26500,
28000,
32000,
36000,
