,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,21323.8404,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
1,4000,20335.0813,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
2,5000,19334.4095,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
3,6000,18345.6504,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
4,7000,17344.9786,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
5,8000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
6,9000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
7,10000,14366.7886,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
8,11000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
9,12000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
10,13000,11376.6858,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
11,14000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
12,15000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
13,16000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
14,17000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
15,17500,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
16,18000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
17,18500,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
18,19000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
19,19500,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
20,20000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
21,20500,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
22,21000,2990.1028,3073.4921,59.5638,131.0404,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
23,21500,2561.2434,2656.5455,154.8659,214.4297,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
24,22000,2084.733,2215.7734,178.6914,250.168,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
25,22500,1703.5247,1882.2161,262.0807,428.8594,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
26,23000,1405.7057,1584.3971,428.8594,619.4635,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
27,23500,976.8463,1167.4505,667.1146,845.806,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
28,24000,905.3698,1072.1484,988.7591,1119.7994,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
29,24500,619.4635,774.3294,1191.276,1393.7929,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
30,25000,595.638,726.6784,1584.3971,1715.4374,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
31,25500,512.2487,655.2018,2048.9947,2180.0351,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
32,26000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
33,26500,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
34,28000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
35,32000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
36,36000,,,,,2020-12-25 08:00:00,2020-12-19 19:51:05,0,0,23825.52
