,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,21486.5011,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
1,4000,20491.3116,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
2,5000,19496.1221,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
3,6000,18500.9326,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
4,7000,17505.7431,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
5,8000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
6,9000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
7,10000,14520.1746,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
8,11000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
9,12000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
10,13000,11546.5963,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
11,14000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
12,15000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
13,16000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
14,17000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
15,17500,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
16,18000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
17,18500,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
18,19000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
19,19500,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
20,20000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
21,20500,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
22,21000,3153.4318,3237.3635,59.9512,119.9024,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
23,21500,2709.7931,2805.715,143.8828,191.8438,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
24,22000,2242.1739,2374.0665,155.8731,215.8242,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
25,22500,1846.4962,2026.3497,227.8145,395.6778,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
26,23000,1534.7501,1714.6036,383.6875,563.541,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
27,23500,1103.1016,1294.9454,599.5118,779.3653,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
28,24000,1007.1797,1175.043,911.2579,1055.1407,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
29,24500,707.4239,863.2969,1091.1114,1306.9356,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
30,25000,671.4532,815.336,1474.7989,1618.6817,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
31,25500,575.5313,731.4043,1930.4278,2074.3107,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
32,26000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
33,26500,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
34,28000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
35,32000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
36,36000,,,,,2020-12-25 08:00:00,2020-12-19 17:21:05,0,0,23980.47
