,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
1,4000,20287.4449,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
2,5000,19288.532,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
3,6000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
4,7000,17302.5981,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
5,8000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
6,9000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
7,10000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
8,11000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
9,12000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
10,13000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
11,14000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
12,15000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
13,16000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
14,17000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
15,17500,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
16,18000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
17,18500,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
18,19000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
19,19500,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
20,20000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
21,20500,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
22,21000,1783.773,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
23,21500,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
24,22000,2033.5012,2152.4194,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
25,22500,1617.2875,1783.773,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
26,23000,1248.6411,1438.9102,332.971,523.2401,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
27,23500,927.562,1141.6147,511.3483,713.5092,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
28,24000,701.6174,915.6701,772.9683,987.0211,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
29,24500,547.0237,725.401,1105.9393,1319.992,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
30,25000,392.4301,582.6992,1462.6939,1652.963,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
31,25500,,,1867.0157,2033.5012,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
32,26000,,,2295.1213,2449.7149,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
33,26500,,,2735.1186,2877.8204,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
34,28000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
35,32000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
36,36000,,,,,2020-12-25 08:00:00,2020-12-20 17:21:05,0,0,23783.64
