,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,20402.6359,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
1,4000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
2,5000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
3,6000,17422.4756,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
4,7000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
5,8000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
6,9000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
7,10000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
8,11000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
9,12000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
10,13000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
11,14000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
12,15000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
13,16000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
14,17000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
15,17500,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
16,18000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
17,18500,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
18,19000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
19,19500,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
20,20000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
21,20500,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
22,21000,2246.5824,2361.2039,206.3188,332.4025,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
23,21500,1868.3313,1960.0285,389.7133,469.9484,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
24,22000,1432.7694,1650.5503,458.4862,538.7213,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
25,22500,1146.2155,1386.9208,596.0321,825.2752,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
26,23000,951.3589,1169.1398,859.6616,1077.4426,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
27,23500,745.0401,813.813,1180.602,1386.9208,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
28,24000,618.9564,779.4265,1581.7774,1719.3233,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
29,24500,389.7133,538.7213,1845.407,2051.7257,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
30,25000,412.6376,538.7213,2292.431,2418.5147,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
31,25500,366.789,504.3348,2796.7658,2922.8495,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
32,26000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
33,26500,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
34,28000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
35,32000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
36,36000,,,,,2020-12-25 08:00:00,2020-12-18 12:51:03,0,0,22924.31
