,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
1,4000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
2,5000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
3,6000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
4,7000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
5,8000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
6,9000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
7,10000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
8,11000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
9,12000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
10,13000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
11,14000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
12,15000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
13,16000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
14,17000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
15,17500,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
16,18000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
17,18500,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
18,19000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
19,19500,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
20,20000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
21,20500,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
22,21000,1756.5338,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
23,21500,2131.261,2260.0734,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
24,22000,1709.6929,1850.2156,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
25,22500,1346.6759,1510.619,327.8863,515.2499,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
26,23000,1007.0794,1217.8634,503.5397,702.6135,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
27,23500,737.7442,960.2385,737.7442,936.818,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
28,24000,550.3806,784.5851,1042.21,1252.9941,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
29,24500,409.8579,620.6419,1405.227,1592.5906,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
30,25000,304.4659,491.8295,1791.6644,1979.028,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
31,25500,,,2213.2325,2365.4655,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
32,26000,,,2669.9313,2810.454,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
33,26500,,,3126.6301,3255.4426,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
34,28000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
35,32000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
36,36000,,,,,2020-12-25 08:00:00,2020-12-20 12:51:05,0,0,23420.45
