,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,20942.1627,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
1,4000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
2,5000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
3,6000,17963.826,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
4,7000,16978.8643,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
5,8000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
6,9000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
7,10000,14000.5276,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
8,11000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
9,12000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
10,13000,11022.1909,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
11,14000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
12,15000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
13,16000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
14,17000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
15,17500,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
16,18000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
17,18500,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
18,19000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
19,19500,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
20,20000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
21,20500,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
22,21000,2673.4676,2778.9992,82.0801,164.1603,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
23,21500,2251.3411,2368.5985,187.6118,257.9662,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
24,22000,1794.0375,1946.472,234.5147,293.1434,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
25,22500,1442.2654,1629.8772,328.3206,504.2066,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
26,23000,1172.5735,1360.1853,527.6581,715.2698,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
27,23500,762.1728,961.5103,785.6242,961.5103,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
28,24000,738.7213,891.1559,1137.3963,1266.3794,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
29,24500,480.7551,621.464,1371.911,1571.2485,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
30,25000,469.0294,586.2868,1794.0375,1911.2948,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
31,25500,398.675,527.6581,2263.0669,2380.3242,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
32,26000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
33,26500,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
34,28000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
35,32000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
36,36000,,,,,2020-12-25 08:00:00,2020-12-20 00:21:05,0,0,23451.47
