,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
1,4000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
2,5000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
3,6000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
4,7000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
5,8000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
6,9000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
7,10000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
8,11000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
9,12000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
10,13000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
11,14000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
12,15000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
13,16000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
14,17000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
15,17500,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
16,18000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
17,18500,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
18,19000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
19,19500,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
20,20000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
21,20500,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
22,21000,1797.7295,1899.4878,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
23,21500,1334.164,1515.0677,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
24,22000,983.6633,1130.6475,327.8878,463.5655,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
25,22500,644.4691,814.0662,497.4849,610.5497,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
26,23000,407.0331,565.3238,734.9209,859.2921,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
27,23500,248.7425,384.4202,1085.4216,1175.8734,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
28,24000,11.3065,,1469.8418,1571.6,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
29,24500,56.5324,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
30,25000,,,2374.3598,2442.1986,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
31,25500,,,2849.2317,2917.0706,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
32,26000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
33,26500,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
34,27000,,,,4375.6058,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
35,28000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
36,32000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
37,36000,,,,,2020-12-25 08:00:00,2020-12-22 08:51:08,0,0,22612.95
