,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,21355.4607,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
1,4000,20365.2355,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
2,5000,19375.0102,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
3,6000,18372.8545,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
4,7000,17382.6292,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
5,8000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
6,9000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
7,10000,14400.023,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
8,11000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
9,12000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
10,13000,11429.3472,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
11,14000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
12,15000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
13,16000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
14,17000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
15,17500,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
16,18000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
17,18500,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
18,19000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
19,19500,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
20,20000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
21,20500,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
22,21000,3030.328,3113.8409,59.6521,119.3043,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
23,21500,2588.9022,2696.2761,143.1651,202.8172,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
24,22000,2123.6156,2254.8503,167.026,226.6781,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
25,22500,1729.9116,1908.868,238.6085,405.6345,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
26,23000,1431.651,1610.6074,405.6345,584.5908,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
27,23500,1002.1557,1193.0425,632.3125,811.2689,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
28,24000,930.5732,1085.6687,954.434,1085.6687,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
29,24500,632.3125,787.4081,1145.3208,1348.138,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
30,25000,608.4517,739.6863,1539.0248,1670.2595,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
31,25500,513.0083,656.1734,1992.381,2123.6156,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
32,26000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
33,26500,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
34,28000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
35,32000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
36,36000,,,,,2020-12-25 08:00:00,2020-12-19 23:21:05,0,0,23860.85
