,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
1,4000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
2,5000,19166.2725,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
3,6000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
4,7000,17165.593,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
5,8000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
6,9000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
7,10000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
8,11000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
9,12000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
10,13000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
11,14000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
12,15000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
13,16000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
14,17000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
15,17500,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
16,18000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
17,18500,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
18,19000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
19,19500,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
20,20000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
21,20500,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
22,21000,1183.834,2770.1716,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
23,21500,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
24,22000,1787.5893,1858.6194,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
25,22500,1314.0557,1408.7625,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
26,23000,923.3905,1006.2589,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
27,23500,556.402,698.4621,319.6352,461.6953,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
28,24000,331.4735,438.0186,603.7553,710.3004,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
29,24500,,,970.7439,1053.6123,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
30,25000,,,1361.4091,1467.9542,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
31,25500,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
32,26000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
33,26500,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
34,27000,,,,3338.4119,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
35,28000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
36,32000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
37,36000,,,,,2020-12-25 08:00:00,2020-12-23 01:51:08,0,0,23676.68
