,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
1,4000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
2,5000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
3,6000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
4,7000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
5,8000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
6,9000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
7,10000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
8,11000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
9,12000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
10,13000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
11,14000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
12,15000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
13,16000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
14,17000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
15,17500,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
16,18000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
17,18500,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
18,19000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
19,19500,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
20,20000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
21,20500,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
22,21000,1749.9938,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
23,21500,2111.6591,2239.992,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
24,22000,1703.3273,1866.66,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
25,22500,1341.6619,1539.9945,396.6653,583.3313,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
26,23000,1026.663,1236.6622,583.3313,781.6639,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
27,23500,781.6639,991.6631,839.997,1026.663,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
28,24000,594.9979,804.9971,1143.3293,1329.9953,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
29,24500,443.3318,653.331,1469.9948,1679.994,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
30,25000,,,1889.9933,2064.9926,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
31,25500,,,2321.6584,2473.3245,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
32,26000,,,2764.9901,2916.6563,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
33,26500,,,3231.6551,3371.6546,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
34,28000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
35,32000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
36,36000,,,,,2020-12-25 08:00:00,2020-12-20 03:21:05,0,0,23333.25
