,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
1,4000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
2,5000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
3,6000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
4,7000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
5,8000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
6,9000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
7,10000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
8,11000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
9,12000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
10,13000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
11,14000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
12,15000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
13,16000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
14,17000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
15,17500,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
16,18000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
17,18500,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
18,19000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
19,19500,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
20,20000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
21,20500,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
22,21000,1821.2417,1900.4261,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
23,21500,1368.7593,1481.8799,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
24,22000,961.5251,1108.5819,282.8015,429.8583,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
25,22500,644.7874,791.8442,452.4824,599.5392,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
26,23000,384.61,531.6668,712.6598,837.0924,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
27,23500,248.8653,384.61,1029.3975,1165.1422,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
28,24000,11.3121,,1425.3196,1538.4402,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
29,24500,90.4965,,1900.4261,1979.6105,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
30,25000,,,2330.2844,2409.4688,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
31,25500,,,2805.3909,2873.2632,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
32,26000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
33,26500,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
34,27000,,,,4332.519,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
35,28000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
36,32000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
37,36000,,,,,2020-12-25 08:00:00,2020-12-22 07:51:08,0,0,22624.12
