,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
1,20500,2987.6271,3172.9063,,,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
2,21000,2559.169,2756.0281,266.3389,613.7374,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
3,21500,2153.8707,2408.6296,,,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
4,22000,1818.0522,2072.8111,544.2577,810.5965,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
5,22500,1505.3935,1783.3123,706.377,972.7158,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
6,23000,1204.3148,1505.3935,914.8161,1227.4747,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
7,23500,984.2958,1285.3745,1192.7349,1505.3935,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
8,24000,787.4366,1088.5153,1505.3935,1794.8923,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
9,24500,625.3173,926.396,1829.6321,2130.7108,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
10,25000,497.9379,787.4366,2200.1905,2489.6893,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
11,25500,393.7183,648.4772,2617.0687,2860.2477,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
12,26000,301.0787,544.2577,3033.9469,3265.5459,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
13,26500,,,3485.565,3694.0041,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
14,27000,,,3948.763,4157.2021,2021-01-1 08:00:00,2020-12-21 21:58:14,0,0,23159.9
