,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
1,20500,2996.3531,3215.3174,276.5864,437.9285,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
2,21000,2627.5712,2892.6332,311.1597,530.124,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
3,21500,2270.3137,2466.2291,518.5996,726.0394,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
4,22000,1890.0073,2178.1182,633.8439,852.8082,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
5,22500,1590.372,1913.0562,956.5281,1210.0657,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
6,23000,1325.31,1613.4209,1106.3458,1348.3589,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
7,23500,1175.4924,1440.5544,1452.0788,1694.0919,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
8,24000,956.5281,1279.2123,1682.5675,1993.7273,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
9,24500,829.7593,1175.4924,2166.5938,2362.5092,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
10,25000,702.9905,991.1014,2397.0825,2696.7178,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
11,25500,599.2706,887.3815,2915.6821,3100.073,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
12,26000,507.0751,668.4172,3226.8418,3434.2816,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
13,26500,414.8797,691.4661,3630.197,3872.2102,2021-01-1 08:00:00,2020-12-19 09:28:10,0,0,23048.87
