,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
1,20500,3344.4337,3532.1914,,,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
2,21000,2910.244,3238.82,,,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
3,21500,2511.259,2769.4258,,,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
4,22000,2135.7436,2405.6453,516.3336,797.9701,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
5,22500,1818.9025,2124.0088,704.0913,997.4627,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
6,23000,1537.266,1830.6374,891.849,1185.2204,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
7,23500,1267.3643,1572.4706,1138.2809,1431.6523,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
8,24000,1032.6672,1372.978,1443.3872,1713.2888,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
9,24500,927.0535,1185.2204,1783.698,2030.1299,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
10,25000,762.7656,1056.1369,2088.8042,2393.9104,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
11,25500,645.417,938.7884,2464.3195,2757.6909,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
12,26000,575.0079,821.4399,2875.0395,3156.676,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
13,26500,,,3297.4943,3555.6611,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
14,27000,,,3755.1536,3989.8507,2021-01-1 08:00:00,2020-12-20 22:28:12,0,0,23469.71
