,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,2970.9124,3162.9486,,,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
1,20500,2552.9514,2756.2838,,,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
2,21000,2146.2866,2394.8039,,,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
3,21500,1807.3992,2067.2128,542.2198,824.6259,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
4,22000,1457.2156,1762.2142,734.2559,1027.9583,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
5,22500,1208.6982,1445.9194,948.8846,1253.8832,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
6,23000,948.8846,1186.1057,1219.9945,1434.6231,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
7,23500,768.1447,1005.3658,1524.9931,1728.3255,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
8,24000,530.9235,813.3296,1875.1767,2168.879,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
9,24500,451.8498,734.2559,2180.1753,2462.5814,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
10,25000,406.6648,677.7747,2586.8401,2835.3575,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
11,25500,293.7024,519.6273,3004.8012,3230.7261,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
12,26000,225.9249,440.5536,3445.3547,3693.8721,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
13,26500,,,3897.2045,4089.2407,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
14,27000,,,4394.2393,4541.0905,2021-01-1 08:00:00,2020-12-21 10:58:12,0,0,22592.49
