,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
1,20500,,,,,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
2,21000,2834.2713,3045.0849,,,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
3,21500,2471.2035,2670.3052,,,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
4,22000,2084.712,2354.0849,515.3221,808.1187,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
5,22500,1756.7798,2037.8645,667.5763,960.3729,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
6,23000,1510.8306,1780.2035,854.9661,1171.1865,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
7,23500,1264.8814,1522.5425,1089.2034,1417.1357,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
8,24000,1042.356,1382.0001,1452.2713,1768.4916,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
9,24500,878.3899,1206.3221,1768.4916,2108.1357,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
10,25000,749.5594,1054.0679,2143.2713,2459.4917,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
11,25500,632.4407,936.9492,2518.051,2822.5595,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
12,26000,538.7458,831.5424,2939.6781,3220.7629,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
13,26500,,,3349.5934,3630.6782,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
14,27000,,,3782.9324,4040.5934,2021-01-1 08:00:00,2020-12-20 13:28:12,0,0,23423.73
