,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
1,20500,3866.6114,4022.7169,144.0973,264.1784,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
2,21000,3446.3276,3578.4168,156.1054,312.2109,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
3,21500,3038.0518,3206.1654,288.1946,456.3082,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
4,22000,2617.768,2857.9302,360.2433,540.365,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
5,22500,2245.5166,2533.7112,600.4055,840.5677,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
6,23000,1921.2976,2197.4841,708.4785,924.6245,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
7,23500,1705.1516,1969.33,996.6731,1224.8272,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
8,24000,1428.9651,1753.1841,1152.7786,1464.9894,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
9,24500,1248.8434,1609.0867,1585.0705,1789.2084,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
10,25000,1068.7218,1380.9327,1765.1922,2089.4111,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
11,25500,912.6164,1236.8353,2245.5166,2461.6626,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
12,26000,780.5272,960.6488,2497.6869,2737.8491,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
13,26500,648.4379,972.6569,2869.9383,3146.1248,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
14,27000,,,,,2021-01-1 08:00:00,2020-12-19 21:58:11,0,0,24016.22
