,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
1,20500,3655.185,3821.8709,154.7798,297.6535,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
2,21000,3238.4701,3393.2499,178.5921,357.1842,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
3,21500,2845.5675,3012.2534,321.4658,500.0579,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
4,22000,2428.8526,2678.8815,404.8088,595.307,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
5,22500,2071.6684,2369.3219,666.7438,904.8666,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
6,23000,1762.1087,2047.8561,785.8052,1012.0219,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
7,23500,1559.7043,1821.6394,1083.4587,1309.6754,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
8,24000,1297.7693,1631.1412,1262.0508,1571.6105,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
9,24500,1131.0833,1488.2675,1702.578,1904.9824,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
10,25000,964.3973,1273.957,1893.0763,2214.542,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
11,25500,821.5237,1131.0833,2381.228,2595.5385,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
12,26000,702.4623,881.0544,2655.0692,2881.2859,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
13,26500,571.4947,892.9605,3036.0657,3298.0008,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
14,27000,,,,,2021-01-1 08:00:00,2020-12-19 23:28:12,0,0,23812.28
