,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
1,20500,,,,,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
2,21000,2945.2475,3157.3053,,,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
3,21500,2580.0368,2803.8756,,,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
4,22000,2203.0451,2438.6649,483.0206,765.7644,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
5,22500,1826.0535,2132.3592,636.1735,907.1362,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
6,23000,1590.4337,1861.3964,836.4503,1107.4131,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
7,23500,1319.4709,1590.4337,1072.0701,1390.1568,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
8,24000,1095.6321,1437.2808,1378.3758,1696.4626,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
9,24500,930.6982,1260.5659,1684.6816,2026.3303,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
10,25000,789.3263,1107.4131,2049.8923,2367.979,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
11,25500,671.5164,977.8222,2426.8839,2733.1897,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
12,26000,577.2685,871.7933,2839.2186,3110.1814,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
13,26500,,,3239.7723,3522.516,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
14,27000,,,3675.6689,3934.8507,2021-01-1 08:00:00,2020-12-20 14:58:12,0,0,23561.98
