,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,21500,,,,,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
1,21750,1558.345,,,,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
2,22000,,,,,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
3,22250,,,,,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
4,22500,860.5786,918.7258,81.4061,127.9238,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
5,22750,674.5075,721.0253,151.1827,220.9594,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
6,23000,534.9542,569.8426,302.3654,337.2538,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
7,23250,430.2893,465.1776,407.0304,476.807,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
8,23500,279.1066,337.2538,488.4365,546.5837,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
9,23750,220.9594,290.736,674.5075,732.6547,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
10,24000,139.5533,220.9594,825.6902,907.0963,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
11,24250,93.0355,151.1827,1069.9085,1116.4262,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
12,24500,,,1279.2384,1337.3856,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
13,24750,,,,1569.9744,2020-12-19 08:00:00,2020-12-18 08:39:56,0,0,23258.88
