,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,21500,,,,,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
1,21750,1492.4087,,,,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
2,22000,,,,,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
3,22250,,1018.0773,57.8453,104.1215,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
4,22500,763.558,821.4033,104.1215,161.9668,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
5,22750,578.453,636.2983,185.105,254.5193,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
6,23000,462.7624,497.4696,347.0718,381.779,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
7,23250,370.2099,393.348,462.7624,532.1768,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
8,23500,231.3812,289.2265,555.3149,613.1602,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
9,23750,185.105,242.9503,763.558,809.8342,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
10,24000,104.1215,185.105,925.5248,994.9392,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
11,24250,69.4144,127.2597,1156.906,1214.7513,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
12,24500,,,,,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
13,24750,,,,1677.5137,2020-12-19 08:00:00,2020-12-18 08:57:56,0,0,23138.12
