,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,21500,,,,,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
1,21750,1493.2847,,,,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
2,22000,,,,,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
3,22250,,,,,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
4,22500,775.582,821.8853,92.6068,162.0619,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
5,22750,590.3684,636.6718,173.6378,243.0929,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
6,23000,463.034,497.7616,335.6997,382.0031,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
7,23250,370.4272,393.5789,451.4582,520.9132,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
8,23500,231.517,289.3963,544.065,601.9442,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
9,23750,173.6378,243.0929,740.8544,787.1578,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
10,24000,104.1827,185.2136,914.4922,972.3714,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
11,24250,,,,,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
12,24500,,,,,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
13,24750,,,,1655.3466,2020-12-19 08:00:00,2020-12-18 09:52:56,0,0,23151.7
