,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,21500,,,,,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
1,21750,1488.3156,,,,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
2,22000,,,,,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
3,22250,899.9117,957.5984,69.224,115.3733,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
4,22500,715.3145,773.0011,115.3733,184.5973,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
5,22750,542.2545,588.4038,207.6719,276.8959,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
6,23000,426.8812,461.4932,369.1946,415.3439,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
7,23250,334.5826,369.1946,496.1052,565.3292,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
8,23500,207.6719,265.3586,599.9412,657.6278,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
9,23750,161.5226,219.2093,807.6131,853.7624,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
10,24000,92.2986,173.0599,980.6731,1038.3597,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
11,24250,,,,,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
12,24500,,,,,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
13,24750,,,,1730.5995,2020-12-19 08:00:00,2020-12-18 09:08:56,0,0,23074.66
