,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,21500,,,,,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
1,21750,1489.1573,,,,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
2,22000,,,,,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
3,22250,900.4207,958.14,,,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
4,22500,715.719,773.4383,115.4386,173.1578,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
5,22750,542.5612,600.2805,196.2455,277.0525,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
6,23000,427.1226,461.7542,369.4034,404.0349,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
7,23250,334.7718,369.4034,484.8419,554.105,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
8,23500,207.7894,265.5087,588.7366,646.4559,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
9,23750,161.614,219.3332,796.526,842.7014,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
10,24000,92.3508,173.1578,969.6838,1027.4031,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
11,24250,,,,,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
12,24500,,,,,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
13,24750,,,,1720.0344,2020-12-19 08:00:00,2020-12-18 09:38:56,0,0,23087.71
