,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,21500,,,,,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
1,21750,1495.139,,,,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
2,22000,,,,,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
3,22250,,,,,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
4,22500,788.1353,846.0864,92.7218,150.6729,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
5,22750,602.6917,660.6428,162.2632,208.624,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
6,23000,475.1992,509.9699,324.5263,370.8872,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
7,23250,382.4774,405.6579,428.8383,498.3797,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
8,23500,231.8045,289.7556,521.5601,579.5113,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
9,23750,185.4436,243.3947,718.594,764.9549,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
10,24000,104.312,185.4436,880.8571,950.3985,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
11,24250,,,,,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
12,24500,,,,,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
13,24750,,,,1634.2217,2020-12-19 08:00:00,2020-12-18 10:02:56,0,0,23180.45
