,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,21500,,,,,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
1,21750,1486.9959,,,,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
2,22000,,,,,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
3,22250,876.0596,933.6951,46.1084,103.7439,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
4,22500,691.626,749.2615,126.7981,184.4336,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
5,22750,518.7195,576.355,207.4878,288.1775,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
6,23000,414.9756,449.5569,380.3943,414.9756,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
7,23250,334.2859,357.3401,495.6653,564.8279,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
8,23500,195.9607,253.5962,610.9363,668.5718,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
9,23750,161.3794,219.0149,818.4241,864.5325,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
10,24000,92.2168,161.3794,991.3306,1048.9661,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
11,24250,,,,,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
12,24500,,,,,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
13,24750,,,,1729.065,2020-12-19 08:00:00,2020-12-18 09:30:56,0,0,23054.2
