,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,20583.8018,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
1,4000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
2,5000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
3,6000,17603.6554,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
4,7000,16610.2733,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
5,8000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
6,9000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
7,10000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
8,11000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
9,12000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
10,13000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
11,14000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
12,15000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
13,16000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
14,17000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
15,17500,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
16,18000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
17,18500,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
18,19000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
19,19500,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
20,20000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
21,20500,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
22,21000,2356.3948,2448.8025,138.6115,242.5701,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
23,21500,1952.1114,2032.9681,288.7739,358.0796,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
24,22000,1513.1751,1697.9904,346.5286,427.3853,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
25,22500,1189.7484,1409.2165,473.5892,669.9554,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
26,23000,970.2802,1166.6465,716.1592,912.5254,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
27,23500,750.8121,808.5669,1016.484,1201.2993,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
28,24000,612.2006,762.363,1397.6656,1536.277,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
29,24500,381.1815,519.793,1663.3375,1848.1528,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
30,25000,392.7325,508.242,2102.2738,2217.7834,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
31,25500,334.9777,462.0382,2587.4139,2702.9235,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
32,26000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
33,26500,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
34,28000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
35,32000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
36,36000,,,,,2020-12-25 08:00:00,2020-12-19 13:21:05,0,0,23101.91
