,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,20642.8162,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
1,4000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
2,5000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
3,6000,17655.8019,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
4,7000,16660.1304,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
5,8000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
6,9000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
7,10000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
8,11000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
9,12000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
10,13000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
11,14000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
12,15000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
13,16000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
14,17000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
15,17500,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
16,18000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
17,18500,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
18,19000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
19,19500,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
20,20000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
21,20500,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
22,21000,2408.1356,2489.1786,127.3533,231.5515,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
23,21500,2002.9205,2083.9635,277.8618,347.3273,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
24,22000,1562.9726,1736.6363,324.1721,405.2151,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
25,22500,1238.8005,1447.1969,451.5254,648.3442,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
26,23000,1007.249,1204.0678,683.0769,891.4733,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
27,23500,787.2751,833.5854,984.0939,1169.3351,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
28,24000,636.7666,787.2751,1354.5763,1493.5072,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
29,24500,405.2151,544.146,1609.2829,1806.1017,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
30,25000,416.7927,532.5685,2049.2308,2165.0065,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
31,25500,358.9048,486.2582,2547.0665,2651.2647,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
32,26000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
33,26500,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
34,28000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
35,32000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
36,36000,,,,,2020-12-25 08:00:00,2020-12-19 13:51:05,0,0,23155.15
