,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,21389.1518,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
1,4000,20385.9755,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
2,5000,19394.7418,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
3,6000,18403.5081,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
4,7000,17400.3318,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
5,8000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
6,9000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
7,10000,14426.6306,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
8,11000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
9,12000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
10,13000,11440.9869,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
11,14000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
12,15000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
13,16000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
14,17000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
15,17500,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
16,18000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
17,18500,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
18,19000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
19,19500,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
20,20000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
21,20500,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
22,21000,3033.4141,3128.9547,59.7129,131.3683,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
23,21500,2603.4814,2710.9645,155.2535,214.9664,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
24,22000,2137.7209,2269.0893,179.1386,238.8515,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
25,22500,1743.616,1922.7546,250.7941,417.9901,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
26,23000,1445.0516,1624.1902,417.9901,609.0713,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
27,23500,1015.1189,1206.2001,644.8991,835.9803,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
28,24000,943.4634,1098.7169,967.3486,1110.6595,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
29,24500,644.8991,800.1525,1170.3724,1373.3961,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
30,25000,621.0139,752.3822,1564.4773,1695.8457,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
31,25500,537.4159,680.7268,2030.2378,2161.6061,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
32,26000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
33,26500,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
34,28000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
35,32000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
36,36000,,,,,2020-12-25 08:00:00,2020-12-19 17:51:05,0,0,23885.15
