,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,3000,20433.315,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
1,4000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
2,5000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
3,6000,17450.3493,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
4,7000,16452.2031,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
5,8000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
6,9000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
7,10000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
8,11000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
9,12000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
10,13000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
11,14000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
12,15000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
13,16000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
14,17000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
15,17500,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
16,18000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
17,18500,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
18,19000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
19,19500,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
20,20000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
21,20500,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
22,21000,2248.6972,2351.9537,183.5671,309.7695,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
23,21500,1858.6171,1961.8736,355.6613,447.4449,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
24,22000,1434.1181,1629.1582,424.499,516.2825,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
25,22500,1135.8216,1365.2805,562.1743,780.1603,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
26,23000,929.3085,1135.8216,826.052,1044.038,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
27,23500,734.2685,791.6332,1147.2945,1342.3346,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
28,24000,596.5931,757.2144,1537.3746,1675.05,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
29,24500,378.6072,516.2825,1812.7253,2007.7654,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
30,25000,401.5531,516.2825,2260.1702,2374.8996,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
31,25500,344.1883,481.8637,2753.5068,2868.2363,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
32,26000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
33,26500,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
34,28000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
35,32000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
36,36000,,,,,2020-12-25 08:00:00,2020-12-18 22:21:03,0,0,22945.89
