,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
1,20500,2994.7541,3213.6015,287.9571,460.7314,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
2,21000,2626.169,2810.4615,334.0303,552.8777,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
3,21500,2269.1021,2476.4313,541.3594,748.6885,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
4,22000,1888.9987,2188.4742,656.5422,875.3897,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
5,22500,1589.5233,1923.5536,990.5725,1243.9748,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
6,23000,1336.1211,1624.0782,1140.3102,1382.1942,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
7,23500,1186.3834,1451.3039,1497.3771,1739.261,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
8,24000,967.5359,1301.5662,1716.2245,2027.2182,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
9,24500,852.3531,1186.3834,2199.9924,2395.8033,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
10,25000,714.1337,1013.6091,2441.8764,2741.3518,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
11,25500,610.4691,898.4262,2960.1992,3156.0101,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
12,26000,518.3228,679.5788,3259.6747,3478.5221,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
13,26500,426.1765,714.1337,3674.3329,3916.2169,2021-01-1 08:00:00,2020-12-18 22:58:10,0,0,23036.57
