,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
1,20500,3105.6229,3314.2095,266.5273,428.7614,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
2,21000,2723.2141,2897.0363,301.2918,509.8784,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
3,21500,2363.9816,2572.5682,498.2902,706.8768,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
4,22000,1969.9847,2271.2764,602.5835,822.7583,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
5,22500,1668.6929,1993.1609,927.0516,1181.9908,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
6,23000,1402.1655,1691.8692,1077.6975,1309.4604,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
7,23500,1239.9315,1506.4589,1413.7537,1657.1047,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
8,24000,1019.7568,1344.2248,1633.9284,1946.8084,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
9,24500,892.2872,1228.3434,2109.0424,2317.629,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
10,25000,753.2294,1042.9331,2352.3934,2653.6852,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
11,25500,637.348,938.6397,2862.2718,3059.2703,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
12,26000,544.6428,706.8768,3163.5636,3372.1502,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
13,26500,440.3495,741.6413,3569.1487,3812.4997,2021-01-1 08:00:00,2020-12-19 03:58:10,0,0,23176.29
