,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
1,20500,2653.9631,2902.4192,372.6842,575.9665,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
2,21000,2303.8658,2507.1481,429.1515,666.3141,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
3,21500,1976.3555,2190.9312,666.3141,892.1833,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
4,22000,1614.9648,1931.1817,813.1291,1050.2918,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
5,22500,1355.2152,1682.7255,1174.5198,1434.2694,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
6,23000,1118.0525,1411.6825,1355.2152,1603.6713,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
7,23500,1005.1179,1264.8675,1727.8994,1976.3555,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
8,24000,813.1291,1129.346,1987.649,2292.5724,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
9,24500,700.1945,1038.9983,2484.5612,2676.55,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
10,25000,587.2599,869.5964,2744.3108,3037.9407,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
11,25500,496.9122,779.2487,3263.8099,3455.7988,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
12,26000,429.1515,575.9665,3602.6137,3794.6026,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
13,26500,350.0973,609.8468,4031.7652,4246.341,2021-01-1 08:00:00,2020-12-18 14:58:10,0,0,22586.92
