,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
1,20500,2800.338,2972.4899,,,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
2,21000,2398.6502,2628.1861,286.9199,631.2237,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
3,21500,2019.9159,2260.9286,,,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
4,22000,1652.6585,1928.1016,596.7933,860.7596,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
5,22500,1331.3082,1629.7049,768.9453,1055.8651,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
6,23000,1044.3883,1331.3082,1009.958,1273.9242,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
7,23500,849.2828,1147.6795,1296.8778,1572.3209,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
8,24000,700.0845,964.0508,1595.2745,1882.1944,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
9,24500,550.8862,814.8524,1962.5319,2249.4518,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
10,25000,,,2341.2662,2593.7557,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
11,25500,321.3503,550.8862,2754.4308,2995.4435,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
12,26000,241.0127,459.0718,3202.0258,3408.6081,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
13,26500,,,3661.0976,3867.6799,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
14,27000,,,4131.6462,4315.2749,2021-01-1 08:00:00,2020-12-22 11:28:14,0,0,22953.59
