,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
1,20500,,,,,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
2,21000,,,,,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
3,21500,2910.1109,3137.6504,,,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
4,22000,2514.9106,2778.3775,371.2487,634.7155,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
5,22500,2167.6135,2455.0318,,,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
6,23000,1856.2436,2167.6135,682.6186,993.9885,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
7,23500,1556.8495,1868.2193,898.1824,1197.5765,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
8,24000,1305.3584,1640.6798,1125.7219,1461.0433,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
9,24500,1113.7461,1425.116,1449.0676,1784.389,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
10,25000,946.0854,1281.4069,1784.389,2107.7346,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
11,25500,814.352,1137.6977,2131.6862,2455.0318,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
12,26000,694.5944,1005.9643,2514.9106,2826.2805,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
13,26500,598.7882,898.1824,2910.1109,3209.505,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
14,27000,,,3341.2384,3628.6568,2021-01-1 08:00:00,2020-12-20 19:58:12,0,0,23951.53
