,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,3304.6357,3477.3518,,,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
1,20500,2855.5737,3051.3187,,,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
2,21000,2429.5405,2659.8287,287.8603,633.2926,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
3,21500,2038.0506,2291.3676,,,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
4,22000,1681.1039,1957.4497,552.6917,817.5231,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
5,22500,1381.7292,1669.5895,725.4078,1024.7825,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
6,23000,1105.3834,1381.7292,955.696,1266.5851,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
7,23500,886.6096,1185.9842,1243.5563,1542.9309,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
8,24000,702.379,1001.7537,1565.9598,1853.82,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
9,24500,564.2061,852.0663,1911.3921,2187.7379,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
10,25000,437.5476,713.8934,2291.3676,2556.199,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
11,25500,356.9467,587.2349,2694.3719,2936.1746,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
12,26000,264.8314,495.1196,3143.4339,3350.6933,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
13,26500,,,3604.0103,3822.7841,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
14,27000,,,4064.5867,4260.3317,2021-01-1 08:00:00,2020-12-22 04:28:14,0,0,23028.82
