,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,3657.0394,3797.6947,,,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
1,20500,3211.6307,3375.7286,,,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
2,21000,2777.9434,2965.4838,199.2618,492.2938,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
3,21500,2367.6986,2578.6816,,,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
4,22000,1957.4538,2215.3219,,,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
5,22500,1605.8154,1887.1261,574.3427,843.9322,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
6,23000,1277.6195,1558.9302,738.4406,1031.4726,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
7,23500,1031.4726,1312.7834,996.3088,1254.177,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
8,24000,832.2109,1125.2429,1289.3408,1582.3728,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
9,24500,656.3917,937.7024,1617.5366,1898.8474,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
10,25000,515.7363,785.3258,1980.8963,2250.4858,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
11,25500,,,2367.6986,2602.1242,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
12,26000,316.4746,550.9002,2789.6646,3012.369,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
13,26500,,,3223.352,3434.335,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
14,27000,,,3668.7606,3868.0224,2021-01-1 08:00:00,2020-12-22 22:28:14,0,0,23442.56
