,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,3869.3174,3999.478,,,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
1,20500,3419.672,3573.4981,,,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
2,21000,2958.1938,3135.6854,165.6589,425.9799,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
3,21500,2520.3811,2721.5383,,,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
4,22000,2094.4012,2331.0567,,,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
5,22500,1739.4179,1987.9062,461.4782,698.1337,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
6,23000,1408.1002,1668.4213,650.8026,899.2909,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
7,23500,1135.9464,1431.7658,851.9598,1135.9464,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
8,24000,887.4581,1183.2775,1112.2808,1396.2674,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
9,24500,709.9665,1005.7859,1419.933,1703.9196,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
10,25000,556.1404,828.2943,1763.0835,2035.2373,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
11,25500,461.4782,698.1337,2141.7323,2402.0533,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
12,26000,343.1505,591.6388,2555.8794,2792.5349,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
13,26500,,,2981.8593,3206.682,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
14,27000,,,3443.3375,3644.4947,2021-01-1 08:00:00,2020-12-23 03:58:15,0,0,23665.55
