,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,3913.0674,4031.6452,,,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
1,20500,3450.614,3604.7651,,,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
2,21000,3000.0183,3177.885,154.1511,426.8801,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
3,21500,2584.996,2762.8627,,,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
4,22000,2181.8315,2371.556,,,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
5,22500,1778.667,2027.6804,426.8801,687.7512,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
6,23000,1446.6492,1695.6625,640.3201,877.4757,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
7,23500,1197.6358,1434.7914,853.7602,1126.4891,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
8,24000,913.0491,1209.4936,1090.9158,1375.5025,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
9,24500,735.1824,1031.6269,1399.218,1683.8048,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
10,25000,569.1734,841.9024,1731.2359,2015.8226,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
11,25500,474.3112,711.4668,2134.4004,2371.556,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
12,26000,355.7334,604.7468,2513.8494,2762.8627,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
13,26500,,,2952.5872,3177.885,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
14,27000,,,3403.1829,3616.6229,2021-01-1 08:00:00,2020-12-23 03:28:15,0,0,23715.56
