,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0
0,20000,,,,,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
1,20500,2903.8758,3121.9534,286.9443,459.1108,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
2,21000,2536.5872,2720.2315,332.8553,550.933,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
3,21500,2180.7763,2387.3762,539.4552,746.0551,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
4,22000,1802.0099,2100.4319,665.7107,883.7883,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
5,22500,1515.0656,1836.4432,998.566,1251.0769,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
6,23000,1262.5547,1549.499,1159.2548,1388.8102,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
7,23500,1113.3437,1377.3324,1515.0656,1744.621,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
8,24000,906.7438,1228.1214,1744.621,2043.0431,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
9,24500,791.9661,1113.3437,2226.6874,2421.8095,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
10,25000,654.2329,941.1771,2479.1983,2766.1426,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
11,25500,562.4107,837.8772,2984.2202,3179.3423,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
12,26000,470.5886,631.2774,3305.5978,3512.1976,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
13,26500,378.7664,654.2329,3718.7975,3948.3529,2021-01-1 08:00:00,2020-12-19 11:58:10,0,0,22955.54
